employment_length,probability,id,employer_title,home_ownership,annual_income
10.0,0.23903605,1058282,global teachers research and resources,mortgage,60000.0
10.0,0.3197405,1051960,wrenshall public school district #100,mortgage,59000.0
9.0,0.17867099,1058289,"agri-empresa, llc",mortgage,35000.0
3.0,0.19410108,1058241,smacna,mortgage,81800.0
5.0,0.24214825,1058276,aramark sports and entertainment,mortgage,65000.0
1.0,0.2892795,1058123,"body details, inc.",rent,44400.0
5.0,0.19691233,1058126,morgan stanley,rent,61500.0
2.0,0.22204152,1058242,"zila, inc.",mortgage,46000.0
10.0,0.22486788,1058119,bed bath and beyond,rent,62000.0
10.0,0.24064289,1058084,carolina east medical center,mortgage,88000.0
10.0,0.22270228,1058111,holy rosary church,rent,50000.0
6.0,0.25596002,1053505,venevision international productions,rent,75000.0
1.0,0.19306757,1058101,mta,mortgage,90000.0
10.0,0.27611303,1058072,el paso corporation,mortgage,100000.0
10.0,0.22374105,1058082,jacksonville sheriff's office,mortgage,110000.0
10.0,0.23028147,1058221,hill's pet nutrion,rent,40000.0
2.0,0.16080241,1058078,food bank of cny,mortgage,50000.0
8.0,0.30120495,1058213,us bank,mortgage,88824.0
10.0,0.26120433,1058059,abbott labs,mortgage,180000.0
10.0,0.3068955,1058060,,own,40000.0
10.0,0.14997086,1055436,cathedral prepatory school,rent,50000.0
6.0,0.2468227,1058186,chenega intergrated systems,rent,40000.0
10.0,0.29006746,1054438,department of army,mortgage,114054.0
6.0,0.19533639,1058203,cumulus media,mortgage,70000.0
10.0,0.29944432,1058042,mifflin county,mortgage,35000.0
10.0,0.1563073,1058195,eddins electric,mortgage,45000.0
10.0,0.24433574,1053728,state of colorado,rent,77000.0
5.0,0.24685457,1058177,blue sky therapy,mortgage,61400.0
4.0,0.2093205,1054408,hospital of st. raphael,mortgage,76800.0
10.0,0.16750981,1058173,independence blue cross,rent,80000.0
1.0,0.18382172,1057996,wells fargo,rent,90000.0
10.0,0.3065266,1058162,ac linen supply inc.,rent,32000.0
1.0,0.18621996,1055265,bright house networks,rent,42000.0
7.0,0.32579443,1018385,,mortgage,24000.0
1.0,0.25604138,1054294,hhealth services integration,rent,130000.0
1.0,0.26591834,1057750,audible inc.,rent,35000.0
6.0,0.19394208,1057923,inc,rent,70000.0
1.0,0.16230315,1057816,mossy nissan oceanside,rent,67000.0
1.0,0.22257571,1057900,shop rite supermarkets,rent,31000.0
5.0,0.16229194,1056770,travel retail concepts,rent,50000.0
5.0,0.22261916,1057710,heartland hospital,mortgage,145000.0
1.0,0.18532424,1057323,trefethen farming,rent,66000.0
8.0,0.15930358,1057878,,rent,100000.0
10.0,0.24324973,1057726,,rent,60000.0
10.0,0.24139698,1057720,saint antoine residence,own,40000.0
10.0,0.2479039,1049053,state farm insurance,rent,45000.0
10.0,0.4200757,1057448,citigroup,mortgage,103000.0
1.0,0.38201335,1057669,crowley,rent,137000.0
10.0,0.2833166,1050535,usda risk management agency,own,103000.0
3.0,0.25657332,1057674,harris,rent,75000.0
5.0,0.19776462,1057806,frcs,mortgage,42000.0
10.0,0.22410157,1057615,all nevada insurance,rent,50000.0
5.0,0.23842466,1057818,harvard university,own,50000.0
10.0,0.23229852,1057629,lime energy,own,80004.0
10.0,0.23025703,1057621,real mex foods,rent,43000.0
10.0,0.21878326,1057787,jp morgan chase,own,32000.0
10.0,0.22311604,1057770,regional transportation district,mortgage,85000.0
5.0,0.23667935,1057275,city national bank,rent,60500.0
1.0,0.18834253,1057330,cta digital,rent,35000.0
1.0,0.23025675,1057773,kansas state university,rent,24000.0
